otu,Genus,counts
Otu00001,Bacillus,1504
Otu00002,Halomonas,58
Otu00003,Bacillaceae_2_unclassified,37
Otu00004,Bacteria_unclassified,104461
Otu00005,Oceanobacillus,6
Otu00006,Halomonas,104365
Otu00007,Bacillaceae_1_unclassified,127
Otu00008,Bacillus,7
Otu00009,Methylobacterium,1187
Otu00010,Pseudomonas,644
Otu00011,Enterobacteriaceae_unclassified,56560
Otu00012,Microbacteriaceae_unclassified,2536
Otu00013,Bacillus,470
Otu00014,Rhizobiaceae_unclassified,36292
Otu00015,Bacillus,144
Otu00016,Enterobacteriaceae_unclassified,53453
Otu00017,Rhodanobacter,13
Otu00018,Enterobacter,49796
Otu00019,Halobacillus,69
Otu00020,Bacillus,30
Otu00021,Kosakonia,36672
Otu00022,Enterobacteriaceae_unclassified,32905
Otu00023,Enterobacteriaceae_unclassified,30116
Otu00024,Thalassospira,32482
Otu00025,Arthrobacter,2550
Otu00026,Pseudomonas,24742
Otu00027,Idiomarina,28311
Otu00028,Methylobacterium,3975
Otu00029,Terribacillus,21
Otu00030,Cellulomonas,16297
Otu00031,Enterobacteriaceae_unclassified,22529
Otu00032,Marinobacter,24663
Otu00033,Bacteria_unclassified,20
Otu00034,Clostridium_XlVa,16068
Otu00035,Halomonadaceae_unclassified,2
Otu00036,Marinimicrobium,20617
Otu00037,Planococcaceae_unclassified,167
Otu00038,Pleomorphomonas,13321
Otu00039,Clostridium_sensu_stricto,5181
Otu00040,Pseudomonas,11055
Otu00041,Bacillales_unclassified,70
Otu00042,Achromobacter,1583
Otu00043,Flavobacterium,1135
Otu00044,Massilia,15069
Otu00045,Marinobacter,15638
Otu00046,Sphingobium,11617
Otu00048,Vibrio,14597
Otu00049,Paenibacillus,12
Otu00050,Marinobacter,11868
Otu00051,Rhodoferax,4614
Otu00052,Pseudomonas,4661
Otu00053,Enterobacteriaceae_unclassified,10862
Otu00054,Gracilibacillus,9
Otu00055,Bacteroides,10254
Otu00056,Rhizobium,4739
Otu00057,Propionispira,8263
Otu00058,Novosphingobium,4933
Otu00059,Vibrio,10254
Otu00060,Bacillus,9549
Otu00061,Kocuria,173
Otu00062,Rhodoferax,5599
Otu00063,Propionispira,8597
Otu00064,Bacillus,28
